student_id,age,gender,region,parent_education,average_grade,absenteeism_rate,assignments_submitted,moodle_hours,forum_posts,satisfaction_score,dropout
1,23,Male,Notse,None,10.08,24.04,73.8,17.21,4,7.3,No
2,31,Female,Notse,Secondary,13.26,14.76,97.71,1.02,2,7.2,No
3,27,Female,Tsevie,Primary,12.97,5.69,93.54,3.11,1,9.1,Yes
4,24,Female,Lome,Primary,15.41,24.4,70.36,6.84,4,5.6,No
5,23,Male,Dapaong,Secondary,13.34,17.51,76.56,0.55,7,3.0,Yes
6,27,Male,Dapaong,None,19.43,17.92,64.79,5.01,4,8.2,No
7,27,Male,Sokode,Secondary,11.67,6.07,47.95,4.31,2,2.3,Yes
8,20,Male,Dapaong,Primary,11.7,0.0,92.07,10.42,2,7.1,No
9,24,Male,Atakpame,None,10.19,5.94,72.97,12.66,4,7.3,No
10,19,Male,Tsevie,Higher,12.26,4.92,65.52,0.95,2,2.7,Yes
11,18,Female,Sokode,Higher,12.69,8.87,44.11,0.39,4,1.5,No
12,28,Male,Notse,Primary,12.84,6.58,79.92,14.96,2,2.7,No
13,22,Female,Atakpame,Secondary,12.2,16.13,63.98,7.51,3,8.1,No
14,18,Male,Dapaong,Primary,10.17,23.81,55.22,7.65,4,8.5,No
15,17,Female,Notse,Secondary,9.36,25.76,92.61,39.49,5,3.4,Yes
16,28,Female,Sokode,Secondary,10.87,23.37,51.02,5.76,0,5.7,No
17,28,Male,Atakpame,Primary,15.42,6.02,70.9,2.18,2,1.5,Yes
18,33,Female,Dapaong,Secondary,16.07,15.59,87.75,11.41,1,2.7,Yes
19,26,Male,Kara,Primary,11.77,30.65,90.94,16.91,2,6.1,Yes
20,32,Male,Kara,None,9.18,0.0,89.12,6.98,3,3.1,No
21,31,Male,Lome,Secondary,11.76,28.48,93.8,11.77,1,1.5,No
22,31,Male,Kara,Secondary,18.27,5.04,48.54,7.21,1,9.0,No
23,28,Female,Atakpame,Secondary,15.0,17.94,96.43,5.23,4,3.1,No
24,19,Male,Tsevie,Secondary,13.65,19.13,40.65,0.35,1,8.0,No
25,21,Female,Kara,Secondary,14.89,16.9,55.35,1.91,1,4.8,Yes
26,23,Female,Sokode,Secondary,16.62,37.28,45.04,6.53,4,7.4,No
27,25,Female,Sokode,Primary,8.54,11.99,96.73,5.05,6,4.2,No
28,23,Male,Sokode,Secondary,10.82,0.0,65.44,18.51,4,6.4,No
29,34,Female,Kara,Secondary,10.41,18.56,58.92,1.15,5,6.9,No
30,20,Male,Notse,Secondary,13.76,13.3,50.03,0.51,1,2.1,Yes
31,30,Female,Kara,Secondary,12.48,20.55,49.35,0.91,4,9.0,No
32,34,Male,Lome,Primary,14.27,23.82,76.84,11.33,3,4.2,Yes
33,25,Male,Tsevie,Secondary,10.48,14.66,42.83,9.03,3,8.1,No
34,18,Male,Notse,Primary,16.12,19.36,75.66,10.0,3,6.0,No
35,31,Male,Tsevie,Secondary,11.79,16.44,86.48,1.71,4,2.6,Yes
36,23,Female,Notse,Secondary,14.08,32.92,76.06,7.26,3,4.2,Yes
37,28,Female,Notse,Higher,15.59,11.29,89.59,14.6,2,1.8,No
38,24,Male,Dapaong,Secondary,15.35,8.13,55.92,11.52,3,3.4,Yes
39,31,Female,Lome,Higher,13.08,23.81,44.63,5.77,5,2.9,Yes
40,19,Male,Atakpame,Secondary,14.46,5.71,83.26,1.09,0,3.5,Yes
41,30,Male,Sokode,Higher,17.22,18.92,89.69,20.45,0,8.2,No
42,33,Female,Kara,Secondary,13.54,13.3,70.1,7.47,2,1.7,Yes
43,20,Male,Dapaong,Higher,9.81,13.99,89.24,22.04,4,6.7,Yes
44,34,Male,Dapaong,Primary,13.75,39.37,67.48,5.77,6,4.2,Yes
45,24,Male,Notse,None,11.89,27.34,51.91,2.71,4,5.4,No
46,20,Male,Kara,Secondary,4.96,25.22,68.46,3.67,0,2.9,No
47,18,Male,Lome,Higher,13.39,20.31,52.96,5.42,2,9.6,No
48,22,Female,Dapaong,Secondary,12.35,8.08,68.32,9.52,1,7.0,No
49,26,Female,Tsevie,Primary,15.47,17.61,48.85,14.65,5,2.8,Yes
50,20,Female,Lome,Secondary,9.75,20.83,51.13,2.78,4,5.4,Yes
51,34,Male,Kara,Secondary,7.48,16.99,92.97,2.08,3,2.4,Yes
52,28,Male,Notse,Primary,12.51,15.95,46.95,2.26,2,9.2,No
53,18,Male,Lome,Secondary,13.14,11.03,53.46,27.26,3,5.2,No
54,26,Male,Notse,Higher,12.28,17.73,99.73,1.79,1,1.7,Yes
55,20,Male,Tsevie,Higher,12.06,9.74,74.56,4.24,4,2.4,Yes
56,30,Male,Sokode,Primary,8.79,22.03,75.15,6.65,1,5.5,Yes
57,32,Female,Notse,Primary,11.58,0.0,90.7,8.12,4,2.8,No
58,31,Male,Notse,Primary,10.95,28.59,71.46,19.53,3,7.4,No
