student_id,age,gender,region,parent_education,average_grade,absenteeism_rate,assignments_submitted,moodle_hours,forum_posts,satisfaction_score,dropout,gender_encoded,region_encoded,parent_education_encoded,dropout_encoded,cluster
1,23,Male,Notse,,10.08,24.04,73.8,17.21,4,7.3,No,1,4,3,0,1
2,31,Female,Notse,Secondary,13.26,14.76,97.71,1.02,2,7.2,No,0,4,2,0,3
3,27,Female,Tsevie,Primary,12.97,5.69,93.54,3.11,1,9.1,Yes,0,6,1,1,3
4,24,Female,Lome,Primary,15.41,24.4,70.36,6.84,4,5.6,No,0,3,1,0,0
5,23,Male,Dapaong,Secondary,13.34,17.51,76.56,0.55,7,3.0,Yes,1,1,2,1,1
6,27,Male,Dapaong,,19.43,17.92,64.79,5.01,4,8.2,No,1,1,3,0,1
7,27,Male,Sokode,Secondary,11.67,6.07,47.95,4.31,2,2.3,Yes,1,5,2,1,1
8,20,Male,Dapaong,Primary,11.7,0.0,92.07,10.42,2,7.1,No,1,1,1,0,2
9,24,Male,Atakpame,,10.19,5.94,72.97,12.66,4,7.3,No,1,0,3,0,1
10,19,Male,Tsevie,Higher,12.26,4.92,65.52,0.95,2,2.7,Yes,1,6,0,1,2
11,18,Female,Sokode,Higher,12.69,8.87,44.11,0.39,4,1.5,No,0,5,0,0,2
12,28,Male,Notse,Primary,12.84,6.58,79.92,14.96,2,2.7,No,1,4,1,0,2
13,22,Female,Atakpame,Secondary,12.2,16.13,63.98,7.51,3,8.1,No,0,0,2,0,3
14,18,Male,Dapaong,Primary,10.17,23.81,55.22,7.65,4,8.5,No,1,1,1,0,2
15,17,Female,Notse,Secondary,9.36,25.76,92.61,39.49,5,3.4,Yes,0,4,2,1,0
16,28,Female,Sokode,Secondary,10.87,23.37,51.02,5.76,0,5.7,No,0,5,2,0,3
17,28,Male,Atakpame,Primary,15.42,6.02,70.9,2.18,2,1.5,Yes,1,0,1,1,2
18,33,Female,Dapaong,Secondary,16.07,15.59,87.75,11.41,1,2.7,Yes,0,1,2,1,3
19,26,Male,Kara,Primary,11.77,30.65,90.94,16.91,2,6.1,Yes,1,2,1,1,1
20,32,Male,Kara,,9.18,0.0,89.12,6.98,3,3.1,No,1,2,3,0,1
21,31,Male,Lome,Secondary,11.76,28.48,93.8,11.77,1,1.5,No,1,3,2,0,1
22,31,Male,Kara,Secondary,18.27,5.04,48.54,7.21,1,9.0,No,1,2,2,0,1
23,28,Female,Atakpame,Secondary,15.0,17.94,96.43,5.23,4,3.1,No,0,0,2,0,3
24,19,Male,Tsevie,Secondary,13.65,19.13,40.65,0.35,1,8.0,No,1,6,2,0,1
25,21,Female,Kara,Secondary,14.89,16.9,55.35,1.91,1,4.8,Yes,0,2,2,1,3
26,23,Female,Sokode,Secondary,16.62,37.28,45.04,6.53,4,7.4,No,0,5,2,0,0
27,25,Female,Sokode,Primary,8.54,11.99,96.73,5.05,6,4.2,No,0,5,1,0,3
28,23,Male,Sokode,Secondary,10.82,0.0,65.44,18.51,4,6.4,No,1,5,2,0,1
29,34,Female,Kara,Secondary,10.41,18.56,58.92,1.15,5,6.9,No,0,2,2,0,3
30,20,Male,Notse,Secondary,13.76,13.3,50.03,0.51,1,2.1,Yes,1,4,2,1,1
31,30,Female,Kara,Secondary,12.48,20.55,49.35,0.91,4,9.0,No,0,2,2,0,0
32,34,Male,Lome,Primary,14.27,23.82,76.84,11.33,3,4.2,Yes,1,3,1,1,1
33,25,Male,Tsevie,Secondary,10.48,14.66,42.83,9.03,3,8.1,No,1,6,2,0,1
34,18,Male,Notse,Primary,16.12,19.36,75.66,10.0,3,6.0,No,1,4,1,0,2
35,31,Male,Tsevie,Secondary,11.79,16.44,86.48,1.71,4,2.6,Yes,1,6,2,1,1
36,23,Female,Notse,Secondary,14.08,32.92,76.06,7.26,3,4.2,Yes,0,4,2,1,0
37,28,Female,Notse,Higher,15.59,11.29,89.59,14.6,2,1.8,No,0,4,0,0,0
38,24,Male,Dapaong,Secondary,15.35,8.13,55.92,11.52,3,3.4,Yes,1,1,2,1,1
39,31,Female,Lome,Higher,13.08,23.81,44.63,5.77,5,2.9,Yes,0,3,0,1,0
40,19,Male,Atakpame,Secondary,14.46,5.71,83.26,1.09,0,3.5,Yes,1,0,2,1,1
41,30,Male,Sokode,Higher,17.22,18.92,89.69,20.45,0,8.2,No,1,5,0,0,2
42,33,Female,Kara,Secondary,13.54,13.3,70.1,7.47,2,1.7,Yes,0,2,2,1,3
43,20,Male,Dapaong,Higher,9.81,13.99,89.24,22.04,4,6.7,Yes,1,1,0,1,2
44,34,Male,Dapaong,Primary,13.75,39.37,67.48,5.77,6,4.2,Yes,1,1,1,1,0
45,24,Male,Notse,,11.89,27.34,51.91,2.71,4,5.4,No,1,4,3,0,1
46,20,Male,Kara,Secondary,4.96,25.22,68.46,3.67,0,2.9,No,1,2,2,0,1
47,18,Male,Lome,Higher,13.39,20.31,52.96,5.42,2,9.6,No,1,3,0,0,2
48,22,Female,Dapaong,Secondary,12.35,8.08,68.32,9.52,1,7.0,No,0,1,2,0,3
49,26,Female,Tsevie,Primary,15.47,17.61,48.85,14.65,5,2.8,Yes,0,6,1,1,0
50,20,Female,Lome,Secondary,9.75,20.83,51.13,2.78,4,5.4,Yes,0,3,2,1,3
51,34,Male,Kara,Secondary,7.48,16.99,92.97,2.08,3,2.4,Yes,1,2,2,1,1
52,28,Male,Notse,Primary,12.51,15.95,46.95,2.26,2,9.2,No,1,4,1,0,1
53,18,Male,Lome,Secondary,13.14,11.03,53.46,27.26,3,5.2,No,1,3,2,0,1
54,26,Male,Notse,Higher,12.28,17.73,99.73,1.79,1,1.7,Yes,1,4,0,1,2
55,20,Male,Tsevie,Higher,12.06,9.74,74.56,4.24,4,2.4,Yes,1,6,0,1,2
56,30,Male,Sokode,Primary,8.79,22.03,75.15,6.65,1,5.5,Yes,1,5,1,1,1
57,32,Female,Notse,Primary,11.58,0.0,90.7,8.12,4,2.8,No,0,4,1,0,3
58,31,Male,Notse,Primary,10.95,28.59,71.46,19.53,3,7.4,No,1,4,1,0,1
59,24,Female,Kara,Primary,15.22,1.88,53.31,1.2,7,4.8,No,0,2,1,0,3
60,30,Male,Tsevie,Primary,13.14,4.33,65.35,1.14,2,6.1,No,1,6,1,0,2
61,24,Female,Kara,Secondary,11.17,19.09,85.3,3.8,3,6.6,No,0,2,2,0,3
62,32,Male,Tsevie,Primary,17.17,20.4,92.35,5.33,5,9.5,No,1,6,1,0,1
63,29,Female,Tsevie,Higher,11.19,35.78,56.39,4.68,3,9.4,Yes,0,6,0,1,0
64,34,Female,Dapaong,Higher,13.67,17.96,55.72,4.97,2,4.4,Yes,0,1,0,1,0
65,31,Male,Dapaong,,11.5,14.6,59.66,19.07,1,9.1,No,1,1,3,0,1
66,29,Male,Dapaong,Higher,16.89,16.91,75.77,18.12,1,9.9,No,1,1,0,0,2
67,25,Female,Sokode,Secondary,12.26,30.9,56.71,16.37,2,8.9,No,0,5,2,0,0
68,31,Male,Sokode,Secondary,12.35,39.24,93.59,14.08,3,1.5,No,1,5,2,0,1
69,29,Male,Tsevie,Primary,11.58,13.15,98.68,0.41,0,3.9,Yes,1,6,1,1,1
70,17,Male,Atakpame,Secondary,12.59,20.43,80.75,1.62,6,2.0,Yes,1,0,2,1,1
71,23,Female,Kara,Primary,15.6,14.26,98.22,13.17,0,7.2,No,0,2,1,0,0
72,25,Male,Dapaong,Secondary,14.54,14.06,57.27,9.03,1,4.1,Yes,1,1,2,1,1
73,17,Female,Kara,,12.08,33.79,88.91,11.21,5,2.7,Yes,0,2,3,1,3
74,28,Female,Notse,Secondary,17.1,5.74,80.71,12.62,2,2.9,Yes,0,4,2,1,3
75,24,Male,Tsevie,Primary,14.62,0.0,55.79,24.23,2,4.4,No,1,6,1,0,2
76,27,Female,Lome,,10.69,18.17,59.1,10.08,2,6.4,Yes,0,3,3,1,3
77,33,Male,Tsevie,Secondary,7.86,27.01,69.32,3.22,3,7.1,Yes,1,6,2,1,1
78,24,Male,Sokode,Secondary,10.75,17.2,87.5,0.87,7,1.2,No,1,5,2,0,1
79,19,Female,Atakpame,Secondary,13.24,20.02,92.33,5.66,4,9.8,No,0,0,2,0,3
80,19,Female,Lome,,13.79,22.52,78.04,12.37,3,1.4,No,0,3,3,0,3
81,17,Female,Kara,Higher,16.08,16.11,83.29,3.31,2,9.8,No,0,2,0,0,0
82,21,Female,Sokode,Secondary,8.72,20.56,55.83,1.28,1,3.4,Yes,0,5,2,1,3
83,26,Female,Dapaong,Primary,10.68,20.4,84.46,66.79,1,9.0,No,0,1,1,0,0
84,23,Male,Lome,Secondary,8.47,0.0,76.3,5.43,3,8.9,No,1,3,2,0,1
85,25,Female,Sokode,Secondary,7.98,16.14,53.38,2.44,10,5.4,No,0,5,2,0,3
86,23,Male,Kara,,10.12,0.0,97.01,1.8,2,7.8,No,1,2,3,0,1
87,25,Male,Tsevie,Secondary,13.1,14.62,70.77,19.86,2,7.0,No,1,6,2,0,1
88,24,Female,Kara,Higher,14.31,10.05,87.67,17.13,3,8.4,No,0,2,0,0,0
89,28,Female,Lome,Secondary,9.15,25.34,71.54,9.5,2,6.0,Yes,0,3,2,1,3
90,18,Female,Lome,Primary,9.57,17.44,95.98,7.92,0,4.0,Yes,0,3,1,1,3
91,17,Female,Tsevie,Higher,6.66,19.73,48.48,30.25,8,4.8,No,0,6,0,0,0
92,32,Female,Lome,Primary,12.64,13.09,72.77,2.59,3,2.3,No,0,3,1,0,3
93,21,Male,Atakpame,Higher,9.8,25.52,41.51,5.37,3,3.6,No,1,0,0,0,2
94,19,Male,Dapaong,,16.99,0.0,51.84,0.25,4,9.7,No,1,1,3,0,1
95,28,Male,Sokode,Secondary,13.23,6.04,56.86,5.42,3,4.9,Yes,1,5,2,1,1
96,24,Female,Tsevie,Secondary,11.49,27.86,68.36,4.85,2,7.4,No,0,6,2,0,0
97,19,Female,Kara,Primary,10.08,10.64,89.21,29.86,2,3.8,No,0,2,1,0,3
98,17,Male,Kara,Secondary,7.52,0.0,68.0,4.44,3,7.5,Yes,1,2,2,1,2
99,19,Female,Dapaong,Secondary,7.9,29.53,73.67,18.01,4,5.3,Yes,0,1,2,1,0
100,21,Female,Lome,,10.13,25.77,95.44,14.55,1,8.1,No,0,3,3,0,3
101,31,Female,Lome,Secondary,9.9,22.11,85.39,1.59,3,4.6,Yes,0,3,2,1,3
102,30,Male,Kara,Secondary,9.0,15.94,43.01,32.89,2,9.7,No,1,2,2,0,1
103,19,Female,Dapaong,Primary,13.13,31.61,50.59,9.97,4,2.7,Yes,0,1,1,1,0
104,17,Male,Kara,Higher,13.54,27.59,42.29,9.08,3,5.5,No,1,2,0,0,2
105,21,Female,Lome,Higher,10.62,30.48,44.14,0.12,3,2.5,Yes,0,3,0,1,0
106,30,Female,Tsevie,Primary,17.81,21.96,60.33,12.01,5,3.4,Yes,0,6,1,1,0
107,23,Male,Sokode,Secondary,6.76,16.23,83.67,0.57,2,5.7,Yes,1,5,2,1,1
108,25,Female,Lome,Primary,12.17,11.01,54.66,2.05,4,2.6,No,0,3,1,0,3
109,31,Female,Tsevie,Secondary,11.34,2.31,63.54,1.04,1,2.0,No,0,6,2,0,3
110,31,Female,Sokode,Higher,10.35,20.02,63.63,4.75,4,8.6,No,0,5,0,0,0
111,26,Male,Notse,Primary,9.91,20.85,75.42,15.88,2,4.3,Yes,1,4,1,1,1
112,29,Female,Atakpame,Higher,11.98,11.5,93.58,12.29,2,7.4,Yes,0,0,0,1,0
113,23,Female,Dapaong,Secondary,11.32,21.14,98.99,1.13,2,5.3,Yes,0,1,2,1,3
114,33,Female,Tsevie,Primary,10.82,11.68,76.28,16.02,1,7.7,No,0,6,1,0,0
115,20,Female,Atakpame,Higher,8.1,23.67,70.3,6.18,3,3.4,Yes,0,0,0,1,0
116,21,Female,Lome,Secondary,7.15,6.18,80.91,0.33,3,1.9,Yes,0,3,2,1,3
117,23,Male,Notse,Secondary,11.13,4.45,80.08,2.53,2,5.7,No,1,4,2,0,1
118,29,Male,Dapaong,Secondary,10.79,12.59,71.44,15.38,4,6.7,No,1,1,2,0,1
119,31,Female,Tsevie,Primary,11.41,23.29,84.22,13.22,5,9.5,No,0,6,1,0,0
120,27,Female,Notse,Primary,11.67,3.41,69.48,2.09,3,8.0,No,0,4,1,0,3
121,20,Male,Lome,Higher,10.43,25.5,99.79,0.39,3,8.9,Yes,1,3,0,1,2
122,29,Female,Dapaong,Secondary,11.36,0.0,42.94,3.5,3,7.6,No,0,1,2,0,3
123,23,Female,Dapaong,Higher,9.44,12.53,66.59,15.84,2,10.0,No,0,1,0,0,0
124,18,Female,Lome,Primary,16.57,0.87,63.82,27.87,1,7.7,No,0,3,1,0,3
125,26,Female,Lome,Secondary,9.6,0.0,86.22,8.51,7,6.9,Yes,0,3,2,1,3
126,29,Female,Notse,Higher,10.89,18.66,51.45,0.96,4,3.9,Yes,0,4,0,1,0
127,22,Female,Notse,Primary,9.83,13.22,66.04,6.97,1,3.2,Yes,0,4,1,1,3
128,28,Female,Tsevie,Primary,9.78,1.03,81.88,67.18,4,3.5,Yes,0,6,1,1,0
129,28,Female,Dapaong,Secondary,12.07,9.83,76.19,27.91,5,1.2,Yes,0,1,2,1,3
130,27,Male,Tsevie,Primary,11.69,19.42,72.71,49.92,5,3.1,Yes,1,6,1,1,1
131,23,Male,Notse,Primary,10.62,11.32,66.1,12.02,1,3.6,Yes,1,4,1,1,2
132,17,Female,Dapaong,Higher,11.15,13.01,85.12,5.55,3,1.8,No,0,1,0,0,2
133,17,Female,Tsevie,Higher,9.84,11.02,78.79,22.36,2,1.1,Yes,0,6,0,1,2
134,29,Female,Lome,Secondary,13.21,9.18,92.48,22.56,1,5.5,No,0,3,2,0,3
135,25,Female,Lome,Secondary,18.17,9.05,83.98,1.56,3,2.6,Yes,0,3,2,1,3
136,19,Male,Kara,Higher,9.38,8.75,48.42,14.93,4,3.1,Yes,1,2,0,1,2
137,23,Male,Notse,Secondary,13.18,7.47,77.17,25.17,5,9.8,No,1,4,2,0,1
138,22,Male,Tsevie,,12.13,4.83,42.67,22.88,3,2.3,Yes,1,6,3,1,1
139,24,Male,Kara,Primary,14.01,11.2,63.24,12.27,4,1.4,Yes,1,2,1,1,2
140,25,Female,Kara,,14.09,8.6,64.72,7.71,4,8.4,No,0,2,3,0,3
141,21,Female,Atakpame,,12.62,4.28,91.29,14.99,4,3.4,Yes,0,0,3,1,3
142,17,Female,Dapaong,Primary,11.88,22.66,50.82,7.26,2,5.5,No,0,1,1,0,0
143,26,Male,Sokode,Primary,10.7,27.33,78.61,3.87,6,8.5,Yes,1,5,1,1,1
144,28,Female,Atakpame,Primary,9.71,15.0,51.54,3.0,1,5.6,Yes,0,0,1,1,3
145,31,Female,Notse,,11.71,15.66,96.92,7.78,3,9.0,No,0,4,3,0,3
146,25,Male,Dapaong,Secondary,8.15,8.07,71.77,6.09,2,7.0,Yes,1,1,2,1,1
147,33,Male,Sokode,Primary,10.22,25.67,82.49,7.43,3,6.5,No,1,5,1,0,1
148,33,Male,Kara,Secondary,15.32,32.38,78.79,3.02,2,7.8,Yes,1,2,2,1,1
149,28,Male,Sokode,,12.3,13.36,58.22,8.93,3,3.0,No,1,5,3,0,1
150,23,Male,Lome,Higher,14.68,9.79,94.07,10.85,2,2.5,Yes,1,3,0,1,2
151,18,Female,Notse,Higher,16.41,18.41,77.63,16.44,5,8.6,No,0,4,0,0,0
152,19,Female,Lome,Secondary,11.47,16.29,70.62,8.92,2,9.1,No,0,3,2,0,3
153,33,Male,Tsevie,Secondary,12.62,10.0,71.7,14.11,4,2.4,No,1,6,2,0,1
154,21,Female,Dapaong,Higher,11.09,19.71,93.44,1.86,3,5.8,No,0,1,0,0,0
155,33,Female,Atakpame,Primary,9.56,24.38,43.55,1.29,1,2.5,Yes,0,0,1,1,0
156,33,Female,Notse,Higher,9.14,7.14,63.34,1.98,5,1.3,No,0,4,0,0,2
157,33,Female,Kara,Secondary,14.53,40.42,90.5,18.73,2,5.5,Yes,0,2,2,1,0
158,18,Male,Notse,Secondary,12.63,0.0,42.25,8.12,1,6.4,Yes,1,4,2,1,1
159,18,Female,Dapaong,Primary,17.54,6.48,78.35,6.08,5,5.2,No,0,1,1,0,3
160,21,Female,Kara,Secondary,14.92,17.34,64.2,14.36,2,8.0,No,0,2,2,0,3
161,17,Female,Lome,Secondary,9.81,37.47,52.28,1.32,3,3.1,Yes,0,3,2,1,0
162,17,Male,Notse,Secondary,14.52,9.37,76.68,0.06,2,9.3,No,1,4,2,0,1
163,18,Female,Atakpame,Secondary,11.08,4.34,89.86,3.72,2,6.1,No,0,0,2,0,3
164,28,Male,Atakpame,,15.65,20.49,68.04,2.86,1,5.8,No,1,0,3,0,1
165,22,Male,Lome,Primary,10.54,12.51,48.8,3.67,4,5.1,Yes,1,3,1,1,2
166,20,Male,Sokode,Secondary,8.84,21.65,58.37,36.33,3,2.9,Yes,1,5,2,1,1
167,27,Male,Atakpame,Primary,9.61,14.29,98.88,8.39,1,3.5,Yes,1,0,1,1,2
168,33,Female,Sokode,Primary,9.77,6.43,46.67,8.89,2,6.0,No,0,5,1,0,3
169,22,Male,Kara,Primary,9.48,38.49,49.64,10.66,4,7.7,Yes,1,2,1,1,0
170,21,Male,Atakpame,Primary,10.28,0.0,99.41,5.07,4,2.3,Yes,1,0,1,1,2
171,18,Male,Tsevie,Secondary,14.57,33.2,92.93,38.62,1,5.7,No,1,6,2,0,1
172,22,Male,Lome,,17.39,24.33,82.43,36.22,7,1.3,No,1,3,3,0,1
173,27,Male,Notse,Higher,8.01,7.54,49.06,14.66,4,2.6,Yes,1,4,0,1,2
174,32,Female,Sokode,Secondary,15.79,33.72,54.43,2.38,0,8.2,No,0,5,2,0,0
175,32,Male,Tsevie,Secondary,10.57,1.29,50.81,21.22,7,3.5,Yes,1,6,2,1,1
176,17,Female,Kara,Primary,13.04,25.08,77.86,1.06,4,3.5,Yes,0,2,1,1,0
